Run,BIOME,aphA,appA,glpQ,pafA,phoA,phoC,phoD,phoN,phoX,phy,ugpQ,ppa,ppk,gcd,ppx,ptsH,ptsI,aepP,aepS,aepV,aepW,aepX,glpT,htxB,pgtP,phnC,phnD,phnD_phosphite,phnE,phnS,phnT,phnU,phnV,pit,pstA,pstB,pstC,pstS,ptxA,ptxB,ptxC,ugpA,ugpB,ugpC,ugpE,pgtA,pgtB,phoB,phoP,phoR,phoU,RegX3,SenX3
SRR10028477,8Cropland,-0.038593741,-0.170055993,-0.383668093,-0.135495229,-0.498429518,-0.058720116,-0.414609006,-0.01842519,-0.317919974,-0.130028281,-0.100857588,-0.73912216,-0.497399892,-0.202395106,0.832601602,-0.344164314,-0.706397781,-0.071967159,-0.064431788,-0.07476303,-0.070264051,-0.108637052,0.284713782,-0.019261407,-0.025980998,0.191426742,1.139688871,-0.184710275,-0.267381148,-0.082422589,-0.109868725,-0.032942567,-0.038965663,-0.720995202,-0.682166485,-0.565858129,-0.219316629,-0.081500331,-0.08488909,-0.018651403,-0.045088572,-0.573120365,-0.63486045,-0.885367396,0.375836215,-0.026292884,-0.024824794,-0.92249716,-0.375827312,-0.468635274,-0.809892178,-0.391932581,-0.460284041
SRR10028478,8Cropland,-0.038593741,-0.170055993,-0.383668093,-0.135495229,-0.176739943,-0.058720116,-0.414609006,-0.01842519,-0.317919974,-0.130028281,-0.100857588,-0.689774896,-0.567523775,-0.202395106,-0.56560638,-0.489344571,-0.706397781,-0.071967159,-0.064431788,-0.07476303,-0.070264051,-0.108637052,-0.32933871,-0.019261407,-0.025980998,-0.565969846,-0.034588625,-0.184710275,0.583457326,-0.082422589,-0.109868725,-0.032942567,-0.038965663,-0.720995202,-0.831285105,-0.705279141,-0.136211485,0.959777366,-0.08488909,-0.018651403,-0.045088572,-0.767236949,-0.622811956,-1.239344687,-0.689941707,-0.026292884,-0.024824794,-0.970258853,-0.375827312,-0.188521409,-0.592142313,-0.391932581,-0.460284041
SRR10028479,8Cropland,-0.038593741,-0.170055993,-0.383668093,-0.135495229,-0.498429518,-0.058720116,-0.414609006,-0.01842519,-0.317919974,-0.130028281,-0.100857588,0.327938637,-0.475487814,-0.202395106,-0.451827021,-0.414959356,-0.706397781,-0.071967159,-0.064431788,-0.07476303,-0.070264051,-0.108637052,0.005407087,-0.019261407,-0.025980998,0.156486047,0.155133044,-0.184710275,-0.597157802,0.559753346,-0.109868725,-0.032942567,-0.038965663,-0.547514342,-0.614277611,-0.379832554,-0.18690154,0.927575041,-0.08488909,-0.018651403,-0.045088572,-0.824457114,-0.881088593,-0.794416114,-0.621239612,-0.026292884,-0.024824794,-0.382009965,-0.375827312,-0.468635274,-0.598117774,-0.033963926,-0.460284041
SRR10028480,8Cropland,-0.038593741,-0.170055993,-0.383668093,-0.135495229,-0.498429518,-0.058720116,-0.414609006,-0.01842519,-0.317919974,-0.130028281,-0.100857588,-1.160661352,-0.673567179,-0.202395106,-0.56560638,-0.489344571,-0.57381896,-0.071967159,-0.064431788,-0.07476303,-0.070264051,-0.108637052,-0.32933871,-0.019261407,-0.025980998,-0.468846703,-0.305114296,-0.184710275,-0.727816551,-0.082422589,-0.109868725,-0.032942567,-0.038965663,0.296621382,-0.53713197,-0.970749328,-0.455490015,-0.087380511,-0.08488909,-0.018651403,-0.045088572,-0.824457114,-0.609914395,-0.904184709,-0.689941707,-0.026292884,-0.024824794,-0.678098369,-0.375827312,-0.468635274,-0.948980987,-0.391932581,-0.460284041
SRR10028481,8Cropland,-0.038593741,-0.170055993,-0.383668093,-0.135495229,-0.498429518,-0.058720116,-0.414609006,-0.01842519,-0.317919974,-0.130028281,-0.100857588,-0.809766705,-0.457227506,-0.101860071,-0.191958363,-0.489344571,-0.487425474,-0.071967159,-0.064431788,-0.07476303,-0.070264051,-0.108637052,-0.32933871,-0.019261407,-0.025980998,0.23387894,-0.158055655,-0.184710275,0.920014139,-0.082422589,0.524478411,-0.032942567,-0.038965663,-0.437037187,-0.597656558,-0.496069896,-0.038746629,0.748877893,-0.08488909,-0.018651403,-0.045088572,-0.406682889,-0.794787944,-0.898368358,-0.427069458,-0.026292884,-0.024824794,0.670192602,-0.262724136,-0.352495912,-0.299782385,-0.141118615,1.050300834
SRR10028482,8Cropland,-0.038593741,-0.170055993,0.28586597,-0.135495229,-0.279091294,-0.058720116,-0.414609006,-0.01842519,-0.317919974,-0.130028281,-0.100857588,0.010923846,-0.168358695,-0.097464738,-0.098944236,-0.314267914,0.027288465,-0.071967159,-0.064431788,-0.07476303,-0.070264051,-0.108637052,-0.282274265,-0.019261407,-0.025980998,0.410205523,0.515007753,-0.184710275,0.108378104,-0.082422589,-0.109868725,-0.032942567,-0.038965663,0.329349245,-0.217174537,-0.350948556,-0.024016443,1.327017896,-0.08488909,-0.018651403,-0.045088572,-0.455345623,-0.099133356,0.008027767,-0.410689073,-0.026292884,-0.024824794,-0.455788902,-0.29827091,-0.429224065,-0.238776746,-0.339652419,-0.210323647
SRR10028483,8Cropland,-0.038593741,-0.170055993,-0.383668093,-0.135495229,-0.498429518,-0.058720116,-0.414609006,-0.01842519,-0.317919974,-0.130028281,-0.100857588,-0.460529442,-0.749774905,-0.202395106,-0.428112469,-0.489344571,-0.706397781,-0.071967159,-0.064431788,-0.07476303,-0.070264051,-0.108637052,-0.189593401,-0.019261407,-0.025980998,-0.014035818,0.070607917,-0.184710275,-0.379122162,-0.082422589,-0.109868725,-0.032942567,-0.038965663,-0.720995202,-0.787826891,-0.578883915,-0.20277132,0.283601462,-0.08488909,-0.018651403,-0.045088572,-0.251614174,-0.881088593,-1.121322961,-0.600972714,-0.026292884,-0.024824794,-0.705990864,-0.120071889,0.116570014,-0.654309047,-0.391932581,-0.460284041
SRR10028484,8Cropland,-0.038593741,-0.170055993,-0.383668093,-0.135495229,-0.403627868,-0.058720116,-0.414609006,-0.01842519,-0.317919974,-0.130028281,-0.100857588,-0.30727193,-0.872795543,-0.202395106,-0.012282107,-0.489344571,-0.706397781,-0.071967159,-0.064431788,-0.07476303,-0.070264051,-0.108637052,-0.191421363,-0.019261407,-0.025980998,-0.254518596,0.347865924,-0.184710275,-0.242026099,-0.082422589,-0.109868725,-0.032942567,-0.038965663,-0.720995202,-0.965419507,-0.826889731,-0.493213896,-0.128709966,-0.08488909,-0.018651403,-0.045088572,-0.569736719,-0.549447085,-1.260674739,-0.689941707,-0.026292884,-0.024824794,-1.083511662,-0.079925763,-0.468635274,-0.797559879,-0.391932581,-0.460284041
SRR10028485,5Grassland,-0.038593741,-0.170055993,-0.066100668,-0.135495229,-0.498429518,-0.058720116,-0.414609006,-0.01842519,-0.317919974,-0.130028281,0.07066083,0.291529668,0.058782876,-0.202395106,-0.128113066,-0.161073918,0.016294423,-0.071967159,-0.064431788,-0.07476303,-0.070264051,-0.108637052,-0.32933871,-0.019261407,-0.025980998,0.005486691,0.400568656,-0.184710275,-0.588070116,-0.082422589,-0.109868725,-0.032942567,-0.038965663,0.665754148,0.117508991,-0.036622485,0.329646488,1.581843527,-0.08488909,-0.018651403,-0.045088572,-0.505143033,-0.835987446,-0.245445534,-0.321442362,-0.026292884,-0.024824794,-0.388480593,0.12714068,-0.468635274,-0.358357791,0.007027641,0.26781786
SRR10028486,8Cropland,-0.038593741,-0.170055993,-0.195096078,-0.135495229,-0.498429518,-0.058720116,-0.414609006,-0.01842519,-0.317919974,-0.130028281,-0.100857588,-0.366882289,-0.100542873,0.174975381,-0.319319557,-0.489344571,-0.579502189,-0.071967159,-0.064431788,-0.07476303,-0.070264051,-0.108637052,-0.32933871,-0.019261407,-0.025980998,-0.170011064,-0.144533861,-0.184710275,0.19730517,-0.082422589,-0.109868725,-0.032942567,-0.038965663,-0.720995202,-0.888134843,-0.57658279,-0.42811993,0.125757668,-0.08488909,-0.018651403,-0.045088572,-0.80141592,-0.59867027,-0.715550201,-0.619958144,-0.026292884,-0.024824794,-0.964593458,-0.375827312,-0.307870191,-0.65435663,0.16769267,-0.1398662
