,lon,lat_weidu,BIOME_1_2,ABS_lat,cec_0.30_mean,nitrogen_0.30_mean,phh2o_0.30_mean,soc_0.30_mean,GDP_per_capita_PPP2005,Human_development_index2005,Annual_mean_moisture_index_2,anthropogenic_biome_2,Aridity_index_2,CN30cm_1_2,population_density_2,Human_influence_index_2,development_threat_index_2,human_modification_terrestrial_2,nfertilizer_global_2,occP_1_2,totP,labP,orgP,pfertilizer_global_2,Potential_evapotranspiration_annual_2,secP_1_2,SMC30cm_1_2,SMN30cm_1_2,wc2.1_2.5m_elev_2,bdod_0_30cm_mean,cfvo_0_30cm_mean,clay_0_30cm_mean,ocd_0_30cm_mean,sand_0_30cm_mean,silt_0_30cm_mean,human_footprint_3,travel_time_to_cities_min,prec,srad,tavg,tmax,tmin,human_sum,human_organic,human_inorganic,human_two_component,human_phosphotransferase,human_transporters
SRR10028477,102.7921114,-2.07141763,111,2.07141763,152.1649068,208.302419,45.63578669,750.4992065,8137.249023,0.700737298,1.341555953,32,19231,5.32595396,48.50611877,21,1,0.207081467,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1515,27.64960861,46.09970093,8.655670166,64,111.3366623,35.26263809,369.1928813,294.4833018,349.1566162,281.4131266,11.48011208,97.28414917,241.9151649,16550.25,26.31808503,30.15229241,22.48240074,-1.350759332,-0.2346862,-0.230111404,-0.299652458,-0.248792637,-0.337516633
SRR10028478,102.7924752,-2.07562384,111,2.07562384,152.1649068,208.302419,45.63578669,750.4992065,8137.249023,0.700737298,1.341555953,32,19234,5.32595396,48.50611877,21,1,0.207081467,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1514,27.64960861,46.09970093,8.655670166,64,111.3366623,35.26263809,369.1928813,294.4833018,349.1566162,281.4131266,11.48011208,88.85931396,243.6968206,16550.25,26.36761157,30.2173535,22.51710828,-1.348898896,-0.234392269,-0.229984649,-0.299727376,-0.248897637,-0.335896963
SRR10028479,102.85119,-2.14044,111,2.14044,151.4102758,202.5426941,48.46432241,956.2902832,8137.249023,0.700737298,1.320528984,32,19304,5.32595396,48.50611877,21,1,0.206917405,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1511,27.64960861,46.09970093,8.655670166,51,113.6336161,63.94930903,386.3389486,287.0816345,336.720225,277.0769653,14.82616806,93.40533447,241.7699998,16553.83333,26.36470842,30.21813806,22.50866938,-1.252006376,-0.166055998,-0.306382547,-0.312101319,-0.280743943,-0.186722571
SRR10028480,102.7532639,-2.01578878,111,2.01578878,122.322202,225.1421305,45.29197057,564.2927246,8137.249023,0.700737298,1.341555953,32,19260,5.32595396,48.50611877,14,1,0.202883333,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1506,27.64960861,46.09970093,8.655670166,59,110.3463567,83.43859355,398.3849792,317.6746979,322.3319804,279.2830404,12.09933853,132.2064209,241.4072088,16548.25,26.22739395,29.98982827,22.46615871,-1.521213795,-0.196691706,-0.241904775,-0.300894861,-0.248282653,-0.5334398
SRR10028481,102.8007258,-2.06353604,111,2.06353604,127.5439606,200.0241445,46.74144491,625.302063,8137.249023,0.700737298,1.341555953,32,19126,5.32595396,48.50611877,21,1,0.211344898,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1515,27.64960861,46.09970093,8.655670166,64,112.5460866,27.6616141,389.537852,286.393514,347.9159546,262.5461833,11,108.6755676,241.9151649,16550.25,26.31808503,30.15229241,22.48240074,-1.340617494,-0.239899302,-0.212716688,-0.289439304,-0.235225308,-0.363336893
SRR10028482,102.7709138,-2.03026936,111,2.03026936,148.2954712,212.5713043,45.8289655,659.3662109,8137.249023,0.700737298,1.341555953,32,19152,5.32595396,48.50611496,18,1,0.199627876,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1511,27.64960861,46.09970093,8.655670166,59,111.3968786,40.0286026,421.1368205,299.672109,326.8693542,252.1178589,11.32258034,173.3003693,239.711284,16548.25,26.22365602,29.99324767,22.45344257,-1.485409689,-0.235899095,-0.23528953,-0.309223485,-0.255623678,-0.449373903
SRR10028483,103.2644444,-1.80505558,111,1.80505558,156.7500966,215.4500732,45.60700607,795.1904907,8137.249023,0.700737298,1.279313087,26,17543,4.22490406,50.79838943,25,1,0.202556551,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1502,16.98644829,70.62349701,16.7159996,47,114.7962952,37.61696625,395.8151855,293.3466339,310.4434306,294.2134501,16.97159958,27.81163979,219.8148378,16590.58333,26.47526821,30.36168559,22.58900213,-1.218279348,-0.143484005,-0.319856618,-0.341001874,-0.384636852,-0.029299998
SRR10028484,103.3005833,-1.8596667,111,1.8596667,140.281901,229.5189362,46.91023763,705.0028076,8137.249023,0.700737298,1.276986122,26,17564,4.22490406,50.79838562,18,1,0.197401255,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1503,16.98644829,70.62349701,16.7159996,57,112.0351588,51.35607274,397.3605347,293.1022542,317.2838236,285.2484131,16.32558823,57.97599792,219.8125381,16598,26.44684919,30.33742491,22.55465587,-1.43111974,-0.132428243,-0.304305945,-0.339594894,-0.374249605,-0.280541053
SRR10028485,102.5807841,-1.94187532,106,1.94187532,124.6633097,204.4255422,45.75341797,661.0209351,8137.249023,0.700737298,1.34384346,32,19360,16.89335632,48.50611877,10,1,0.200761497,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1509,27.64960861,90.34279633,5.347829819,86,106.3359731,54.70671717,421.6943258,305.2956034,291.4432271,286.9837138,11,210.9796448,242.2343928,16520,26.05886761,29.81075716,22.30327304,-1.672824546,-0.206536405,-0.216057996,-0.295285794,-0.232973261,-0.721971089
SRR10028486,103.2745556,-1.87902781,111,1.87902781,138.859052,211.7064107,45.18871053,643.4848022,8137.249023,0.700737298,1.276986122,26,17685,4.22490406,50.79838562,15,1,0.411560237,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1499,16.98644829,70.62349701,16.7159996,61,113.6641744,54.65081533,375.5096639,301.1346741,337.7130127,286.811025,17.0777626,54.12246323,220.7285055,16581.83333,26.43050607,30.32314253,22.53640127,-0.125451777,0.149809696,0.016733145,0.082262337,0.071800589,-0.446057544
