sort_id,Nocardioides,Rubrobacter,Raoultella,Pseudomonas,Mycobacterium,Chryseobacterium,Iningainema,Cupriavidus,Mycolicibacterium,Flavobacterium,Streptomyces,Solirubrobacter,Serratia,Micromonospora,Sphingomonas,Rhizobium,Microvirga,Actinoplanes,Bacillus,Marmoricola,Segetibacter,Acaryochloris,Aequorivita,Arthrobacter,Ralstonia,Nostoc,Cellulomonas,Lysobacter,Microlunatus,Ramlibacter
SRR10028477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028482,,,,,0.862687,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028485,,,,,1.69948,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028496,,,,,1.137,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028498,,,,,2.8477,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028503,,,,,1.33657,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028506,,,,,0.48015,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10028508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10127265,,1.04676,,,,,1.42174,,,,0.629769,,,2.74304,,,,,0.430744,,2.84137,,,1.3497,,,,,,
SRR10127268,,0.48551,,,,,0.188416,,,0.609174,2.77913,0.590918,,1.05227,1.11366,,0.560843,,,,0.728958,,,0.269209,,,,,,0.125337
SRR10127269,,0.52439,,,,,2.09747,,,,,0.148077,,0.822494,,,0.268957,1.30572,,,,1.20504,,,,,,,,
SRR10127270,,0.439092,,,,,0.124617,,,,,0.275327,,,,,0.661215,,,,,,,,,,,,,
SRR10159347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10159348,,,,,0.919074,,,,,,,,,,0.575271,,,,,,,,,,,,,,,
SRR10159349,,,,,1.7396,,,,,,,,,,0.834664,,,,,,,,,,,,,,,
SRR10159350,,0.142652,,,0.166328,,,,,,0.168826,,,,,,,,,,,,,,,,,,,
SRR10159351,,,,,,,,,,,,,,,0.471416,,,,,,,,,,,,,,,
SRR10159352,,,,,,,,,,,0.253037,,,,,,,,,,0.714259,,,,,,,,,
SRR10159353,,,,,0.570122,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10159354,,,,,0.635318,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10159355,,,,,0.201411,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10159356,,,,,1.75859,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10260005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10260006,,,,1.99861,,,,,0.092221,1.89,0.778541,,,,,,,,,,,,,,,,,,,
SRR10260007,,,,,,,,,,4.80751,,,,1.24022,,,,,,,,,,2.63588,,,,,,
SRR10260008,,,,,0.468032,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10260009,,,,,0.254032,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10260010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10260011,,,,,,,,,,,,,,,,,,,,,,,,1.70843,,,,,,
SRR10260012,,,,,,,,,,,,,,,,,,,,,,,,0.365047,,,,,,
SRR10360602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360607,,,,,,,,,0.280283,,,,,,,,,,,,,,,,,,,,,
SRR10360608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360611,,,,,,,,,,,,,,,,,,,,,,,,,,0.200311,,,,
SRR10360612,,,,,,,,,,,,,,0.052451,,,,,,,,,,,,,,,,
SRR10360613,,,,,,,,,,,,,,,,,,,,,,,,,,0.145214,,,,
SRR10360614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360616,,,,,,,,,,,,,,0.231912,,,,,,,,,,,,,,,,
SRR10360617,,0.31868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360619,,,,,,,,,,,0.146356,,,,,,,,,,,,,,,,,,,
SRR10360620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360623,,,,,,,1.25238,,4.64366,,0.275978,,,,,,,,,,,0.189144,,,,,,,,
SRR10360624,,,,,,,0.682365,,,,,,,,,,,,,,,,,,,,,,,
SRR10360625,,,,,,,,,,,,,,,,,,0.140873,,,,,,,,,,,,
SRR10360626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360630,,,,,,,1.60053,,,,0.875914,,,,,,,,,,,,,,,,,,,
SRR10360631,,,,,,,0.593996,,,,,,,,,,,,,,,,,,,,,,,
SRR10360632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360635,,,,,,,,,0.250684,,,,,,,,,,,,,,,,,,,,,
SRR10360636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10360638,,,,,,,,,,,,,,,0.215314,,,,,,,,,,,,,,,
SRR10360639,,,,,,,,,0.068699,,0.102655,,,,,,,,,,,,,,,0.187082,,,,
SRR10360640,,,,,,,,,0.156749,,,,,,,,,,,,,,,,,,,,,
SRR10360641,,,,,,,,,,,,,,0.13791,,,,,,,,,,,,,,,,
SRR10360642,,,,,0.269804,,,,0.987248,,,,,0.60167,,,,,,,,,,,,,,,,
SRR10360643,,,,,0.368138,,,,,,,,,,,,,,,,,,,,,,,,,
