sort_id,GDP_per_capita_PPP2005,anthropogenic_biome_2,population_density_2,Human_influence_index_2,development_threat_index_2,human_modification_terrestrial_2,pfertilizer_global_2,human_footprint_3,rev_travel_time_to_cities_min,sum,sum_organic,sum_inorganic,sum_phosphotransferase,sum_transporters,sum_two_component,human_sum,human_organic,human_inorganic,human_two_component,human_phosphotransferase,human_transporters,travel_time_to_cities_min
SRR10028477,8137.249023,32,48.50611877,21,1,0.207081467,1.213999987,11.48011208,-97.28414917,-11.0756115,-2.26680273,-0.606315556,-1.050562095,-3.671744894,-3.480186225,-1.350759332,-0.2346862,-0.230111404,-0.299652458,-0.248792637,-0.337516633,97.28414917
SRR10028478,8137.249023,32,48.50611877,21,1,0.207081467,1.213999987,11.48011208,-88.85931396,-14.32885294,-1.945113156,-2.025300157,-1.195742352,-6.132613089,-3.030084188,-1.348898896,-0.234392269,-0.229984649,-0.299727376,-0.248897637,-0.335896963,88.85931396
SRR10028479,8137.249023,32,48.50611877,21,1,0.206917405,1.213999987,14.82616806,-93.40533447,-11.15283964,-2.26680273,-0.801771304,-1.121357138,-4.592952496,-2.369955972,-1.252006376,-0.166055998,-0.306382547,-0.312101319,-0.280743943,-0.186722571,93.40533447
SRR10028480,8137.249023,32,48.50611877,14,1,0.202883333,1.213999987,12.09933853,-132.2064209,-16.95366152,-2.26680273,-2.602230018,-1.06316353,-7.646588995,-3.374876244,-1.521213795,-0.196691706,-0.241904775,-0.300894861,-0.248282653,-0.5334398,132.2064209
SRR10028481,8137.249023,32,48.50611877,21,1,0.211344898,1.213999987,11,-108.6755676,-7.270670255,-2.26680273,-1.560812645,-0.976770045,-3.079539543,0.61325471,-1.340617494,-0.239899302,-0.212716688,-0.289439304,-0.235225308,-0.363336893,108.6755676
SRR10028482,8137.249023,32,48.50611496,18,1,0.199627876,1.213999987,11.32258034,-173.3003693,-4.216348013,-1.377930443,-0.353843822,-0.286979449,-0.174439933,-2.023154366,-1.485409689,-0.235899095,-0.23528953,-0.309223485,-0.255623678,-0.449373903,173.3003693
SRR10028483,8137.249023,26,50.79838943,25,1,0.202556551,1.485000014,16.97159958,-27.81163979,-13.97735523,-2.26680273,-1.840811922,-1.195742352,-6.40686214,-2.267136088,-1.218279348,-0.143484005,-0.319856618,-0.341001874,-0.384636852,-0.029299998,27.81163979
SRR10028484,8137.249023,26,50.79838562,18,1,0.197401255,1.485000014,16.32558823,-57.97599792,-15.67342805,-2.17200108,-1.394744686,-1.195742352,-7.577973054,-3.33296688,-1.43111974,-0.132428243,-0.304305945,-0.339594894,-0.374249605,-0.280541053,57.97599792
SRR10028485,8137.249023,32,48.50611877,10,1,0.200761497,1.213999987,11,-210.9796448,-3.561382719,-1.777716886,0.019804371,-0.144779495,-0.794085553,-0.864605156,-1.672824546,-0.206536405,-0.216057996,-0.295285794,-0.232973261,-0.721971089,210.9796448
SRR10028486,8137.249023,26,50.79838562,15,1,0.411560237,1.485000014,17.0777626,-54.12246323,-12.78787807,-2.078230715,-0.611769337,-1.068846759,-6.703092464,-2.325938799,-0.125451777,0.149809696,0.016733145,0.082262337,0.071800589,-0.446057544,54.12246323
