Run,geo_continent,geo,sum,sum-organic,sum-inorganic,sum-Phosphotransferase,sum-Transporters,sum-Two-component
SRR10857620,Africa,1,4.75094781,1.339096313,1.890753562,-0.960696244,1.746505642,0.735288536
SRR10857621,Africa,1,-4.522439455,-0.923015746,1.531708487,-0.937399638,-2.499475858,-1.694256701
SRR10857622,Africa,1,16.90749093,-0.915576626,5.9705435,0.405688411,9.810245219,1.636590431
SRR10857623,Africa,1,2.37060788,1.030980924,2.780818982,-0.647586037,1.291731664,-2.085337653
SRR12192802,Africa,1,2.378431667,0.027591015,1.935454637,0.221484478,1.235017251,-1.041115714
SRR12192803,Africa,1,-0.498052157,0.717238175,0.102960974,-0.787260862,0.46787436,-0.998864803
SRR12192804,Africa,1,3.678158882,-0.825028375,2.662418773,0.898783282,0.88464851,0.057336693
SRR12192848,Africa,1,5.276118289,-1.28699725,3.062249756,1.031052561,3.02790156,-0.558088337
SRR12192850,Africa,1,8.49423922,4.488807862,3.397169399,-0.665496889,2.76299118,-1.489232333
SRR12192851,Africa,1,11.59418164,1.952783505,4.804928276,-1.195742352,3.727443422,2.304768794
SRR12285194,Africa,1,3.143070722,-2.122029452,6.085929671,1.571582237,-1.775867547,-0.616544186
SRR12285195,Africa,1,4.300642895,-2.26680273,3.518259983,3.092314265,-0.336483743,0.29335512
SRR12285196,Africa,1,7.366828306,0.806359112,4.15011158,-0.353010129,0.984932511,1.778435233
SRR12288316,Africa,1,-4.992158247,-1.932979699,0.013589891,0.376196518,-2.964295713,-0.484669243
SRR12288318,Africa,1,1.446914953,-2.26680273,0.154478793,4.105948159,-0.478737719,-0.06797155
SRR12288319,Africa,1,-8.545410345,-2.26680273,0.33496142,-0.640652559,-5.480017755,-0.492898721
SRR14623159,Africa,1,2.581913409,-0.252790091,1.873303024,-0.603942682,1.656020628,-0.090677469
SRR14623160,Africa,1,5.062822654,-0.500010657,2.57701979,-0.866498264,3.51694994,0.335361844
SRR14623161,Africa,1,-4.710844015,-0.489688916,0.358832543,-0.74042083,-2.244723704,-1.594843107
SRR15947147,Africa,1,2.42743438,-1.753140457,0.866158704,-1.195742352,1.488406438,3.021752047
SRR15947148,Africa,1,3.076359064,-2.26680273,5.420874276,-0.599463574,3.223390715,-2.701639623
SRR15947149,Africa,1,3.065541587,-2.26680273,2.334519131,-0.837278013,1.468496019,2.36660718
SRR15947150,Africa,1,4.181157616,-2.26680273,1.920455947,9.381960373,-2.332510533,-2.521945441
SRR15947151,Africa,1,-0.181704542,-1.769531971,2.36717623,-0.136364484,2.384896732,-3.027881048
SRR15947152,Africa,1,-9.588014424,-2.26680273,-0.854382,-0.780219747,-2.75767102,-2.928938927
SRR15947153,Africa,1,-6.739494712,-1.796358855,-0.343236099,-0.710726716,-1.705183416,-2.183989625
SRR15947154,Africa,1,11.66218115,-1.267657155,2.845580712,1.780522956,3.118599997,5.185134645
SRR15947155,Africa,1,-7.019469955,-0.624690088,-0.091645912,-0.726391603,-1.494592031,-4.082150322
SRR15947156,Africa,1,-6.932346194,-1.399410232,0.652609862,-0.024250759,-6.105740024,-0.055555041
SRR15947157,Africa,1,12.8878423,2.594452168,3.656171987,-1.195742352,2.983242262,4.849718238
SRR15947158,Africa,1,5.247517988,-1.651839771,2.73086756,0.682805032,2.68757366,0.798111506
SRR5234505,Africa,1,0.459258672,2.366047787,1.474038189,-0.065198341,-1.541477204,-1.77415176
SRR5234506,Africa,1,-4.600228842,-2.050803038,1.845729743,-0.453804178,-1.503274821,-2.438076548
SRR5234507,Africa,1,5.33331094,4.457449814,3.771317904,-0.289147738,-0.963532525,-1.642776514
SRR5234508,Africa,1,10.09103824,1.526184887,4.142727517,0.373758301,4.088536651,-0.040169118
SRR5234509,Africa,1,-0.855102641,-2.10227075,2.757283243,-1.121042101,1.216881426,-1.605954459
SRR5234510,Africa,1,1.375729862,0.822055975,1.877164424,0.16130353,-1.63974199,0.154947923
SRR5234511,Africa,1,-3.801785867,4.230502646,-0.213271498,-1.089019396,-4.319749547,-2.410248072
SRR5234512,Africa,1,-1.01456301,0.290563952,0.36526638,-0.581112041,-0.086855238,-1.002426063
SRR11719862,Antarctica,2,-0.508634691,-0.605791287,2.703274719,-0.818880586,-1.588080572,-0.199156965
SRR11719863,Antarctica,2,-5.226498608,0.887910609,0.419355328,-0.420293093,-4.369671892,-1.74379956
SRR11719864,Antarctica,2,-3.616295749,0.881836467,-0.653980928,-0.765069494,-2.098924836,-0.980156958
SRR11719865,Antarctica,2,-8.631130365,1.856625878,-1.322511082,-0.694851783,-6.645432944,-1.824960434
SRR11719866,Antarctica,2,1.292388831,2.162759354,-0.340544541,-0.301073927,1.449585536,-1.678337591
SRR11719867,Antarctica,2,-8.255578875,1.754643733,-2.100938639,-0.25731097,-5.221666981,-2.430306018
SRR11719868,Antarctica,2,26.55404033,1.033448245,-0.125308713,-0.497736866,27.73675471,-1.593117041
SRR11719869,Antarctica,2,-6.525730965,-0.185892558,-1.463556204,0.059810036,-3.227699848,-1.708392391
SRR11719870,Antarctica,2,12.7498396,9.598254845,1.639071665,-0.281441566,0.151650241,1.642304417
SRR11719871,Antarctica,2,-9.535993762,-0.914536431,-0.320352821,-0.748547425,-6.223313833,-1.329243252
SRR11719872,Antarctica,2,-1.361122855,6.72607726,-0.650376193,-0.821308055,-5.534219195,-1.081296672
SRR11719873,Antarctica,2,23.60350187,0.962917533,0.233652424,-0.430224425,22.57884128,0.258315062
SRR11719874,Antarctica,2,-7.091669095,1.17170726,0.20103435,-0.909287628,-4.907631261,-2.647491816
SRR11719875,Antarctica,2,5.854532623,1.29219192,0.026792576,-0.535548748,4.162336036,0.908760839
