id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,sum,sum_organic,sum_inorganic,sum_Phosphotransferase,sum_Transporters,sum_Two_component,occP_1_2,labP,orgP,secP_1_2,totP
SRR10028477,-0.520420813,1.803961508,-3.124518598,-2.497784295,0.881832096,0.275465796,-0.187021082,-11.0756115,-2.26680273,-0.606315556,-1.050562095,-3.671744894,-3.480186225,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028478,-0.520401845,1.804085828,-3.125221235,-2.497083863,0.881471168,0.275164317,-0.198653346,-14.32885294,-1.945113156,-2.025300157,-1.195742352,-6.132613089,-3.030084188,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028479,-0.511695525,1.734423779,-3.239398284,-2.318928884,0.807955767,0.416490311,-0.201091015,-11.15283964,-2.26680273,-0.801771304,-1.121357138,-4.592952496,-2.369955972,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028480,-0.699180931,1.825632316,-3.38412117,-2.594475776,0.843521568,0.330386962,-0.053305943,-16.95366152,-2.26680273,-2.602230018,-1.06316353,-7.646588995,-3.374876244,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028481,-0.508644717,1.736011775,-3.183607979,-2.699145625,0.908781869,0.21251744,-0.149534852,-7.270670255,-2.26680273,-1.560812645,-0.976770045,-3.079539543,0.61325471,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028482,-0.567074858,1.806212985,-3.42280081,-2.435733097,0.950041907,0.224482826,-0.195733867,-4.216348013,-1.377930443,-0.353843822,-0.286979449,-0.174439933,-2.023154366,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028483,-0.366956109,1.700179916,-3.22917086,-1.989723719,1.221622045,0.491172164,-0.137170518,-13.97735523,-2.26680273,-1.840811922,-1.195742352,-6.40686214,-2.267136088,-1.06982681,0.104322526,-0.888835237,-1.061530228,-0.375314691
SRR10028484,-0.50616567,1.672284387,-3.29775526,-2.042910079,1.190123909,0.451380267,0.022570861,-15.67342805,-2.17200108,-1.394744686,-1.195742352,-7.577973054,-3.33296688,-1.06982681,0.104322526,-0.888835237,-1.061530228,-0.375314691
SRR10028485,-0.290005199,2.017901656,-3.063517117,-3.693141778,-1.424076195,-0.381037709,-0.481356676,-3.561382719,-1.777716886,0.019804371,-0.144779495,-0.794085553,-0.864605156,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10028486,-0.389174197,1.652372479,-3.1977184,-2.106707718,1.21188342,0.422780814,0.084380805,-12.78787807,-2.078230715,-0.611769337,-1.068846759,-6.703092464,-2.325938799,-1.06982681,0.104322526,-0.888835237,-1.061530228,-0.375314691
